TotalFinishedArea,LivingUnits,SaleDate,SalePrice,TotalAppraisedValue,AssrLandUse,PriceRatio
1092.0,1.0,2024/07/01 00:00:00+00,259000.0,187200,ONE FAMILY,1.3835470085470085
936.0,1.0,2022/04/26 00:00:00+00,208000.0,192300,ONE FAMILY,1.0816432657306292
1111.0,1.0,2023/12/22 00:00:00+00,125000.0,148400,ONE FAMILY,0.8423180592991913
1684.0,1.0,2021/01/11 00:00:00+00,177000.0,197900,ONE FAMILY,0.8943911066195048
900.0,1.0,2021/09/21 00:00:00+00,188000.0,170700,ONE FAMILY,1.1013473930872877
1012.0,1.0,2023/11/01 00:00:00+00,205000.0,172000,ONE FAMILY,1.191860465116279
1096.0,1.0,2022/08/31 00:00:00+00,132500.0,199800,ONE FAMILY,0.6631631631631631
1096.0,1.0,2022/12/14 00:00:00+00,235000.0,199800,ONE FAMILY,1.1761761761761762
1348.0,1.0,2023/09/20 00:00:00+00,302000.0,219800,ONE FAMILY,1.3739763421292084
1348.0,1.0,2022/02/28 00:00:00+00,178200.0,219800,ONE FAMILY,0.8107370336669699
1348.0,1.0,2023/05/24 00:00:00+00,195000.0,219800,ONE FAMILY,0.8871701546860783
1096.0,1.0,2021/11/05 00:00:00+00,190000.0,170700,ONE FAMILY,1.1130638547158758
1666.0,1.0,2022/07/07 00:00:00+00,200000.0,237500,ONE FAMILY,0.8421052631578947
1339.0,1.0,2021/07/12 00:00:00+00,235000.0,207800,ONE FAMILY,1.1308950914340712
1096.0,1.0,2021/09/15 00:00:00+00,185000.0,176000,ONE FAMILY,1.0511363636363635
1096.0,1.0,2023/09/13 00:00:00+00,235000.0,172700,ONE FAMILY,1.3607411696583671
1270.5,1.0,2024/09/30 00:00:00+00,173000.0,183900,ONE FAMILY,0.9407286568787384
1479.0,1.0,2022/10/26 00:00:00+00,240000.0,188600,ONE FAMILY,1.2725344644750796
1484.5,1.0,2022/03/09 00:00:00+00,145000.0,164800,ONE FAMILY,0.8798543689320388
797.0,1.0,2022/01/03 00:00:00+00,74500.0,72000,CONDOMINIMUM,1.0347222222222223
797.0,1.0,2023/11/30 00:00:00+00,85000.0,68100,CONDOMINIMUM,1.2481644640234948
797.0,1.0,2023/01/26 00:00:00+00,98000.0,81900,CONDOMINIMUM,1.1965811965811965
587.0,1.0,2024/04/10 00:00:00+00,48500.0,55800,CONDOMINIMUM,0.8691756272401434
591.0,1.0,2024/04/10 00:00:00+00,70750.0,56200,CONDOMINIMUM,1.258896797153025
587.0,1.0,2024/04/10 00:00:00+00,69250.0,55800,CONDOMINIMUM,1.2410394265232976
1101.0,1.0,2020/11/05 00:00:00+00,180000.0,195600,ONE FAMILY,0.9202453987730062
1149.0,1.0,2022/05/06 00:00:00+00,135000.0,183200,ONE FAMILY,0.7368995633187773
1092.00001,1.0,2022/09/22 00:00:00+00,205000.0,174900,ONE FAMILY,1.1720983419096627
1587.0,1.0,2024/07/15 00:00:00+00,275000.0,207000,ONE FAMILY,1.328502415458937
1218.0,1.0,2023/10/05 00:00:00+00,224500.0,171600,ONE FAMILY,1.3082750582750582
