TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
1092.0,1.0,187200,2024,7,1.3835470085470083,False,False,False,True,False,False
936.0,1.0,192300,2022,4,1.0816432657306292,False,False,False,True,False,False
1111.0,1.0,148400,2023,12,0.8423180592991913,False,False,False,True,False,False
1684.0,1.0,197900,2021,1,0.8943911066195048,False,False,False,True,False,False
900.0,1.0,170700,2021,9,1.1013473930872877,False,False,False,True,False,False
1012.0,1.0,172000,2023,11,1.191860465116279,False,False,False,True,False,False
1096.0,1.0,199800,2022,8,0.6631631631631631,False,False,False,True,False,False
1096.0,1.0,199800,2022,12,1.1761761761761762,False,False,False,True,False,False
1348.0,1.0,219800,2023,9,1.3739763421292084,False,False,False,True,False,False
1348.0,1.0,219800,2022,2,0.8107370336669699,False,False,False,True,False,False
1348.0,1.0,219800,2023,5,0.8871701546860783,False,False,False,True,False,False
1096.0,1.0,170700,2021,11,1.1130638547158758,False,False,False,True,False,False
1666.0,1.0,237500,2022,7,0.8421052631578947,False,False,False,True,False,False
1339.0,1.0,207800,2021,7,1.1308950914340712,False,False,False,True,False,False
1096.0,1.0,176000,2021,9,1.0511363636363635,False,False,False,True,False,False
1096.0,1.0,172700,2023,9,1.3607411696583671,False,False,False,True,False,False
1270.5,1.0,183900,2024,9,0.9407286568787384,False,False,False,True,False,False
1479.0,1.0,188600,2022,10,1.2725344644750796,False,False,False,True,False,False
1484.5,1.0,164800,2022,3,0.8798543689320388,False,False,False,True,False,False
797.0,1.0,72000,2022,1,1.0347222222222223,False,True,False,False,False,False
797.0,1.0,68100,2023,11,1.2481644640234948,False,True,False,False,False,False
797.0,1.0,81900,2023,1,1.1965811965811963,False,True,False,False,False,False
587.0,1.0,55800,2024,4,0.8691756272401434,False,True,False,False,False,False
591.0,1.0,56200,2024,4,1.258896797153025,False,True,False,False,False,False
587.0,1.0,55800,2024,4,1.2410394265232976,False,True,False,False,False,False
1101.0,1.0,195600,2020,11,0.9202453987730062,False,False,False,True,False,False
1149.0,1.0,183200,2022,5,0.7368995633187773,False,False,False,True,False,False
1092.00001,1.0,174900,2022,9,1.1720983419096629,False,False,False,True,False,False
1587.0,1.0,207000,2024,7,1.328502415458937,False,False,False,True,False,False
1218.0,1.0,171600,2023,10,1.3082750582750582,False,False,False,True,False,False
1096.0,1.0,174500,2023,7,1.489971346704871,False,False,False,True,False,False
1096.0,1.0,174500,2021,8,0.5810888252148997,False,False,False,True,False,False
1389.0,1.0,203700,2022,4,0.7216494845360825,False,False,False,True,False,False
1389.0,1.0,203700,2022,10,1.3500245459008346,False,False,False,True,False,False
1190.0,1.0,161600,2021,7,0.99009900990099,False,False,False,True,False,False
936.0,1.0,154100,2020,12,0.9409474367293964,False,False,False,True,False,False
1792.0,1.0,262800,2024,3,1.06544901065449,False,False,False,True,False,False
1520.76,1.0,223700,2021,8,0.8493518104604381,False,False,False,True,False,False
1588.0,1.0,159000,2021,4,0.9056603773584906,False,False,False,True,False,False
1765.20001,1.0,198200,2020,10,0.958627648839556,False,False,False,True,False,False
1566.4,1.0,258000,2021,10,1.065891472868217,False,False,False,True,False,False
1566.4,1.0,258000,2021,7,0.5232558139534884,False,False,False,True,False,False
1577.25,1.0,191700,2021,4,1.0093896713615025,False,False,False,True,False,False
1577.25,1.0,191700,2020,11,0.8294209702660407,False,False,False,True,False,False
1518.0,1.0,221100,2021,11,0.6331976481230213,False,False,False,True,False,False
1518.0,1.0,221100,2022,6,1.1307100859339665,False,False,False,True,False,False
1270.0,1.0,158600,2023,4,1.147540983606557,False,False,False,True,False,False
1058.0,1.0,223500,2024,7,1.2080536912751678,False,False,False,True,False,False
1058.0,1.0,223500,2024,1,0.6711409395973155,False,False,False,True,False,False
1218.0,1.0,183400,2020,10,1.008724100327154,False,False,False,True,False,False
2520.0,2.0,266700,2021,9,0.974878140232471,False,False,False,False,False,True
1536.0,1.0,195000,2023,1,1.3076923076923077,False,False,False,True,False,False
925.0,1.0,175600,2023,3,0.9111617312072892,False,False,False,True,False,False
925.0,1.0,175600,2023,12,1.4236902050113895,False,False,False,True,False,False
1858.0,1.0,278200,2021,6,0.9561502516175412,False,False,False,True,False,False
1008.0,1.0,199300,2022,4,1.1791269443050678,False,False,False,True,False,False
2991.20001,2.0,251800,2021,9,1.1791104050833996,False,False,False,False,False,True
900.0,1.0,169200,2022,12,1.3002364066193854,False,False,False,True,False,False
900.0,1.0,150300,2021,10,0.998003992015968,False,False,False,True,False,False
4002.0,3.0,286600,2024,4,1.238660153524075,False,False,False,False,True,False
2520.0,2.0,276000,2023,5,0.7355072463768116,False,False,False,False,False,True
1547.0,1.0,204500,2023,5,1.271393643031785,False,False,False,True,False,False
1547.0,1.0,204500,2022,10,0.5990220048899756,False,False,False,True,False,False
1603.80001,1.0,197600,2020,12,0.9969635627530364,False,False,False,True,False,False
1268.0,1.0,183800,2022,4,1.2241566920565832,False,False,False,True,False,False
1150.5,1.0,181300,2021,2,0.9652509652509652,False,False,False,True,False,False
910.0,1.0,162900,2020,12,1.0006138735420504,False,False,False,True,False,False
1159.0,1.0,203300,2022,2,1.1313330054107231,False,False,False,True,False,False
1159.0,1.0,203300,2021,11,0.8484997540580423,False,False,False,True,False,False
1715.5,1.0,288100,2023,1,0.7601527247483513,False,False,False,True,False,False
1344.0,1.0,188100,2023,10,1.4247740563530038,False,False,False,True,False,False
2600.0,2.0,240500,2022,1,0.9604989604989606,False,False,False,False,False,True
2480.0,2.0,258100,2021,5,0.9376210771018983,False,False,False,False,False,True
1444.0,1.0,182500,2021,5,0.9753424657534246,False,False,False,True,False,False
1128.0,1.0,128800,2023,4,1.436335403726708,False,False,False,True,False,False
1144.0,1.0,131800,2020,12,0.9559939301972686,False,False,False,True,False,False
1168.0,1.0,119100,2020,12,1.0075566750629723,False,False,False,True,False,False
1152.0,1.0,103500,2021,7,1.0628019323671498,False,False,False,True,False,False
1128.0,1.0,131000,2023,11,1.4122137404580153,False,False,False,True,False,False
2252.0,2.0,241300,2023,10,1.326150020721094,False,False,False,False,False,True
1196.0,1.0,131300,2023,4,1.3709063214013708,False,False,False,True,False,False
1196.0,1.0,91600,2021,1,0.7860262008733624,False,False,False,True,False,False
1121.6,1.0,131200,2023,1,1.333841463414634,False,False,False,True,False,False
1333.60001,1.0,63300,2023,5,1.0268562401263823,False,False,False,True,False,False
1192.0,1.0,167700,2022,3,1.2522361359570662,False,False,False,True,False,False
1344.0,1.0,174500,2021,1,0.9742120343839542,False,False,False,True,False,False
1572.0,1.0,241200,2021,1,0.9950248756218906,False,False,False,True,False,False
1576.0,1.0,248700,2020,11,0.985122637716124,False,False,False,True,False,False
1155.0,1.0,172500,2021,8,1.1014492753623188,False,False,False,True,False,False
1439.0,1.0,191400,2024,6,1.4629049111807733,False,False,False,True,False,False
1152.0,1.0,151800,2023,1,1.310935441370224,False,False,False,True,False,False
2338.0,2.0,160000,2021,7,0.9375,False,False,False,False,False,True
1116.0,1.0,263200,2023,9,0.6098024316109423,False,False,False,True,False,False
1116.0,1.0,263200,2024,3,1.253419452887538,False,False,False,True,False,False
1091.30001,1.0,167600,2024,4,1.1933174224343674,False,False,False,True,False,False
1260.0,1.0,176600,2021,2,0.911664779161948,False,False,False,True,False,False
899.5,1.0,190200,2020,10,1.077812828601472,False,False,False,True,False,False
2080.0,2.0,229900,2021,9,0.8873423227490214,False,False,False,False,False,True
1144.0,1.0,166300,2021,5,0.9019843656043296,False,False,False,True,False,False
1440.0,2.0,130600,2021,7,1.046010719754977,False,False,False,False,False,True
3200.0,2.0,308900,2021,8,1.165425704111363,False,False,False,False,False,True
1176.0,1.0,163700,2020,10,0.9957238851557728,False,False,False,True,False,False
2157.60001,1.0,238500,2021,11,0.5660377358490566,False,False,False,True,False,False
2157.60001,1.0,238500,2022,6,1.1740041928721174,False,False,False,True,False,False
1896.0,2.0,172400,2022,1,1.334106728538283,False,False,False,False,False,True
1566.0,1.0,88000,2023,6,0.7408724999999999,False,False,False,True,False,False
1566.0,1.0,88000,2023,12,1.4772727272727273,False,False,False,True,False,False
2112.0,2.0,214000,2020,11,0.7523364485981309,False,False,False,False,False,True
